Record_ID,Date,Day_of_Week,Is_Weekend,Season,Line,Line_Color,Station_Name,Interchange_Station,Zone,Distance_from_Connaught_Place_km,Opening_Year,Number_of_Platforms,Entry_Count,Exit_Count,Total_Footfall,Peak_Hour_Footfall_Pct,Avg_Fare_INR,Majority_Ticket_Type,Parking_Available,Feeder_Bus_Available,Escalator_Count,Elevator_Count,Weather_Condition,Temperature_C,Is_Festival_Day,Delay_Minutes,Security_Incidents
1,2024-01-01,Monday,0,Winter,Airport Express,#F58220,Delhi Aerocity,No,South West Delhi,13.2,2011,2,5682,5632,11314,28.3,47.8,Smart Card (DMRC Card),No,Yes,3,1,Cold & Cloudy,9.2,0,1.2,0
2,2024-01-01,Monday,0,Winter,Airport Express,#F58220,Dhaula Kuan,No,South West Delhi,9.7,2011,2,5849,5967,11816,33.9,36.6,Smart Card (DMRC Card),Yes,No,2,1,Cold & Cloudy,9.2,0,1.3,0
3,2024-01-01,Monday,0,Winter,Airport Express,#F58220,IGI Airport,No,South West Delhi,16.5,2011,2,6842,6730,13572,30.6,49.6,Smart Card (DMRC Card),Yes,Yes,3,2,Cold & Cloudy,9.2,0,0.8,0
4,2024-01-01,Monday,0,Winter,Airport Express,#F58220,New Delhi,Yes,Central Delhi,2.0,2011,4,21642,22465,44107,37.7,23.0,Smart Card (DMRC Card),No,Yes,8,1,Cold & Cloudy,9.2,0,0.6,0
5,2024-01-01,Monday,0,Winter,Airport Express,#F58220,Shivaji Stadium,No,Central Delhi,2.9,2011,2,7016,7217,14233,31.9,24.4,QR Ticket (Token-less),Yes,No,2,2,Cold & Cloudy,9.2,0,1.5,0
6,2024-01-01,Monday,0,Winter,Blue,#00509E,Akshardham,No,East Delhi,8.2,2009,2,6063,5961,12024,39.2,34.2,Smart Card (DMRC Card),Yes,No,3,1,Cold & Cloudy,9.2,0,2.0,0
7,2024-01-01,Monday,0,Winter,Blue,#00509E,Botanical Garden,Yes,Noida,17.2,2009,3,20283,20065,40348,28.8,50.2,NCMC Card (One Delhi),Yes,Yes,4,2,Cold & Cloudy,9.2,0,1.0,0
8,2024-01-01,Monday,0,Winter,Blue,#00509E,Dwarka Mor,No,West Delhi,20.1,2005,2,4582,4424,9006,44.2,54.9,Paper QR Token,No,No,4,1,Cold & Cloudy,9.2,0,0.0,0
9,2024-01-01,Monday,0,Winter,Blue,#00509E,Dwarka Sector 21,Yes,West Delhi,24.6,2010,3,19514,19312,38826,41.5,60.0,QR Ticket (Token-less),No,Yes,4,2,Cold & Cloudy,9.2,0,1.0,0
10,2024-01-01,Monday,0,Winter,Blue,#00509E,Indraprastha,No,East Delhi,4.7,2005,2,7668,7382,15050,36.8,26.3,Smart Card (DMRC Card),Yes,Yes,4,2,Cold & Cloudy,9.2,0,0.5,0
11,2024-01-01,Monday,0,Winter,Blue,#00509E,Janakpuri West,Yes,West Delhi,16.4,2005,3,18023,17364,35387,44.4,47.2,Smart Card (DMRC Card),No,No,6,2,Cold & Cloudy,9.2,0,0.7,0
12,2024-01-01,Monday,0,Winter,Blue,#00509E,Karol Bagh,No,Central Delhi,6.1,2005,2,7170,6951,14121,33.7,26.4,QR Ticket (Token-less),Yes,No,2,2,Cold & Cloudy,9.2,0,1.3,0
